p0,p1
7,9
0,7
7,31
0,9
8,17
0,2
2,4
4,6
6,7
0,1
1,2
1,22
22,24
2,3
3,4
3,29
29,45
4,5
5,6
5,50
6,31
15,17
8,15
15,38
8,10
10,12
12,14
14,15
8,9
9,10
10,11
11,12
11,36
36,60
12,13
13,14
13,65
14,38
1,16
16,22
16,18
18,20
20,21
21,22
16,17
17,18
18,19
19,20
19,43
43,54
20,52
21,52
21,24
3,23
23,29
23,25
25,27
27,28
28,29
23,24
24,25
25,26
26,27
26,58
58,69
27,67
28,67
28,45
11,30
30,36
30,32
32,34
34,35
35,36
30,31
31,32
32,33
33,34
33,49
49,77
34,75
35,75
35,60
19,37
37,43
37,39
39,41
41,42
42,43
37,38
38,39
39,40
40,41
40,64
64,85
41,83
42,83
42,54
5,44
44,50
44,46
46,48
48,49
49,50
44,45
45,46
46,47
47,48
47,73
73,79
48,77
33,50
26,51
51,58
51,53
53,55
55,57
57,58
51,52
52,53
53,54
54,55
55,56
56,57
56,89
57,69
13,59
59,65
59,61
61,63
63,64
64,65
59,60
60,61
61,62
62,63
62,81
81,87
63,85
40,65
47,66
66,73
66,68
68,70
70,72
72,73
66,67
67,68
68,69
69,70
70,71
71,72
71,88
72,79
62,74
74,81
74,76
76,78
78,80
80,81
74,75
75,76
76,77
77,78
78,79
79,80
80,87
56,82
82,89
82,84
84,86
86,88
88,89
82,83
83,84
84,85
85,86
86,87
87,88
71,89
